id,tx_line_length,voltage,state,region,owner,lon,lat
135887,157459.15374014553,500.0,Pennsylvania,NE,NOT AVAILABLE,-76.17390305662785,40.221113788195225
134312,53623.85305293678,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.7191956474203,38.60504674816006
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.19225910999992,47.79142435571021
134312,53623.85305293678,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.61798924214737,38.57871348432028
119511,262295.9631857906,765.0,Indiana,EM,"DUKE ENERGY INDIANA, LLC",-85.43890972213016,38.74644742097948
134312,53623.85305293678,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.56211073825129,38.56544566419975
116142,199853.88991132448,765.0,Indiana,EM,NOT AVAILABLE,-87.0597799265679,38.23080885885528
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.7466415488118,47.34298873522407
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.75054678059423,48.52532418775481
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.74129531522988,47.34678448683998
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.97552707297682,46.05768945321687
135738,53064.83341127983,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.41864235837043,40.32626937529156
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.98983918659364,46.97672588525711
133993,2052.3571764529997,500.0,Missouri,EM,UNION ELECTRIC CO - (MO),-89.57147763563515,36.51439853386932
122006,72647.42885315811,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.98432239197942,38.95499763214735
105541,74288.42581668557,765.0,Illinois,EM,NOT AVAILABLE,-88.5085186770846,41.58827924931077
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.1863908654064,47.60315434382144
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.21369312407715,39.763482457804315
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.25284219716094,48.76262556321583
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-94.09880197397516,48.18019237076316
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.9092364355744,45.59806208614503
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.67432176357117,39.35659784899534
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-95.43956520363429,48.8321605662384
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90870346511629,45.741138687221934
149013,59016.4686467653,765.0,Illinois,EM,COMED,-88.19501841085709,41.406252687716936
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.96796631255647,46.08958736919193
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-92.74975265808416,47.36603727017636
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.97746186443577,46.791860149829425
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-83.10704147560666,39.656178299280796
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.94940101024264,46.5391221941922
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.31390761830244,47.94716596088186
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.99381353822649,46.87898858883282
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-86.44127422815555,38.308348903907095
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90925957797272,45.67147618376423
134312,53623.85305293678,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.4170856991952,38.49345016199439
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.9084694539848,45.79517703315421
145385,228723.00395046137,765.0,Ohio,EM,"AMERICAN ELECTRIC POWER CO., INC",-82.92143737741355,39.51990212791567
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90889327913584,45.51656614319271
109385,466177.77385540545,500.0,Minnesota,EM,NOT AVAILABLE,-93.9677945484464,48.179916836242434
142641,227570.49913650012,765.0,Indiana,EM,NOT AVAILABLE,-85.4504121552699,38.742749104285345
137023,325625.4276105917,500.0,Minnesota,EM,NOT AVAILABLE,-92.90916340344008,45.78396757296645
